Año,Trimestre,Provincia, Otros ,"0,256 Mbps"," 0,375 Mbps ","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps, 46 Mbps ,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps,84 Mbps,85 Mbps,90 Mbps,91 Mbps,92 Mbps,95 Mbps,97 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,109 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,126 Mbps,127 Mbps,128 Mbps,130 Mbps,131 Mbps,134 Mbps,137 Mbps,140 Mbps,145 Mbps,150 Mbps,155 Mbps,157 Mbps,158 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,203 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,234 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,270 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,340 Mbps,350 Mbps,380 Mbps,384 Mbps,400 Mbps,450 Mbps,473 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,640 Mbps,680 Mbps,700 Mbps,768 Mbps,800 Mbps,850 Mbps,900 Mbps,945 Mbps,950 Mbps,999 Mbps,1000 Mbps,1024 Mbps,1075 Mbps,1536 Mbps,2000 Mbps,2048 Mbps,2529 Mbps,3072 Mbps,4000 Mbps,5000 Mbps,5125 Mbps,6000 Mbps,7000 Mbps,8000 Mbps,10000 Mbps
2022,2,Santa Cruz, 644 , 3 , -   , -   , 26 , 23 , 218 , 6.623 , -   , -   , -   , 2.299 , -   , -   , -   , 2.859 , -   , -   , 2.001 , 962 , -   , 1.921 , 2.306 , -   , 20 , -   , 2.318 , 11 , 9.020 , -   , -   , -   , -   , 6.061 , -   , -   , -   , 4.597 , -   , -   , 940 , -   , 287 , -   , -   , -   , -   , 275 , 1.865 , -   , -   , -   , -   , -   , -   , -   , 321 , -   , -   , -   , 427 , -   , -   , -   , -   , 35 , -   , -   , -   , -   , -   , -   , 2.869 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 104 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,2,Santa Fe, 17.584 , 32 , -   , -   , 335 , 101 , 5 , 11.752 , -   , -   , -   , 9.722 , -   , -   , -   , 39.653 , -   , -   , 172 , 4.424 , -   , 23.590 , 60.973 , -   , 4.426 , -   , 10.767 , 754 , 188.434 , -   , -   , -   , -   , 7.412 , -   , 135 , -   , 16.306 , 61 , -   , 1.727 , -   , 48.492 , -   , -   , -   , -   , 39 , 23.823 , -   , -   , -   , -   , -   , -   , -   , 34.395 , -   , -   , -   , 9 , 18 , -   , 2 , -   , 1.763 , -   , 101 , -   , -   , -   , -   , 209.832 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 438 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.605 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 140.772 , -   , -   , -   , -   , -   , 84 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 767 , -   , -   , -   , -   , -   , -   , -   , 116 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18.039 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 196 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,2,Santiago Del Estero, 792 , -   , -   , -   , 39 , 139 , 908 , 493 , -   , -   , 307 , 380 , -   , -   , -   , 11.321 , -   , -   , -   , 1.267 , -   , 385 , 15.921 , -   , 1.450 , -   , 12 , -   , 58.469 , -   , -   , -   , -   , 11.111 , -   , -   , -   , 592 , -   , -   , -   , -   , 2.903 , -   , -   , -   , -   , -   , 465 , -   , -   , -   , -   , -   , -   , -   , 418 , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   , -   , -   , -   , -   , 4.247 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.882 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 502 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,2,Tierra Del Fuego, 3.351 , -   , -   , -   , 11 , 11 , 318 , 513 , -   , -   , -   , 1 , -   , -   , -   , 8 , -   , -   , 3.740 , 2.133 , -   , 315 , 5.855 , -   , -   , -   , 9.297 , 20 , 5.511 , -   , -   , -   , -   , 11.941 , -   , -   , -   , 7.743 , -   , -   , 207 , -   , 77 , -   , -   , -   , -   , 96 , 1.523 , -   , -   , -   , -   , -   , -   , -   , 128 , -   , -   , -   , 2 , -   , -   , -   , -   , 11 , -   , -   , -   , -   , -   , -   , 832 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 53 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 39 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,2,Tucumán, 281 , -   , -   , -   , 19 , 20 , -   , 2.195 , -   , -   , -   , 119 , -   , -   , -   , 9.000 , -   , -   , 2.271 , 350 , -   , 1.194 , 21.527 , -   , 157 , -   , 145 , 190 , 43.021 , -   , -   , -   , -   , 6.939 , -   , -   , -   , 2.576 , -   , -   , -   , 1 , 14.118 , -   , -   , -   , -   , 65 , 3.541 , -   , -   , -   , 10 , -   , -   , -   , 1.247 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 81.869 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 58.051 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.598 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Buenos Aires, 26.280 , 19 , -   , -   , 31.380 , 192 , 5.958 , 24.098 , -   , -   , 351 , 24.766 , -   , 25 , -   , 65.112 , -   , -   , 50.532 , 13.729 , 65 , 34.623 , 124.179 , -   , 11.296 , 289 , 74.897 , 231 , 235.043 , -   , -   , -   , 10 , 32.963 , -   , 128 , 33 , 97.049 , 301 , 2 , 20.609 , -   , 139.032 , -   , 4 , 1 , 18 , 25 , 114.692 , -   , -   , -   , -   , -   , -   , -   , 726.501 , 1.397 , 7 , 2 , 873 , -   , -   , -   , -   , 3.302 , 9 , -   , -   , -   , -   , 1 , 1.006.534 , -   , -   , -   , -   , -   , 59 , -   , 2 , 59 , 426.428 , 78 , 2 , -   , -   , 6 , -   , -   , -   , 3.163 , -   , 100.884 , -   , 4 , 212 , -   , 2 , -   , -   , -   , 14 , 3 , -   , 6 , -   , -   , -   , 886.665 , -   , -   , -   , -   , -   , 308 , -   , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 105.350 , -   , -   , 2 , 6 , -   , -   , -   , 697 , -   , -   , 1 , -   , -   , -   , 38 , -   , 8 , 13 , -   , -   , 139.417 , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , 5 , 13.171 , 22 , -   , -   , 696 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.533 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Capital Federal, 1.717 , 31 , -   , -   , 461 , 35 , 1.407 , 4.168 , -   , -   , -   , 316 , -   , -   , -   , 5.393 , -   , -   , 13.670 , 992 , -   , 3.506 , 16.041 , -   , 7 , -   , 18.196 , 3 , 59.184 , -   , -   , -   , 5 , 4.423 , -   , -   , -   , 31.903 , 5 , -   , 15.630 , -   , 9.087 , -   , 1 , -   , -   , -   , 33.645 , -   , -   , -   , -   , -   , -   , -   , 59.618 , -   , -   , -   , 9 , -   , -   , -   , 60 , 124 , -   , -   , -   , -   , -   , -   , 420.771 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 100.334 , -   , -   , -   , -   , -   , 1 , -   , -   , 3 , -   , 31.684 , -   , -   , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 427.452 , -   , -   , -   , -   , 1 , 5 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 41.444 , -   , -   , -   , 5 , -   , -   , -   , 2.590 , -   , -   , -   , 1 , 1 , -   , -   , -   , 1.399 , -   , -   , 1 , 98.441 , -   , 2 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 4.408 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , 9.345 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Catamarca, 2.207 , -   , -   , -   , 34 , 37 , -   , 456 , -   , -   , -   , 144 , -   , -   , -   , 1.542 , -   , -   , -   , -   , -   , 18 , 2.682 , -   , 2 , -   , -   , 3 , 7.004 , -   , -   , -   , -   , 3.181 , -   , -   , -   , 841 , -   , -   , -   , -   , 4.751 , -   , -   , -   , -   , 2.573 , 228 , -   , -   , -   , -   , -   , -   , -   , 960 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 21.877 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12.464 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.332 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Chaco, 7.580 , -   , 225 , 111 , 234 , 2 , -   , 988 , -   , 25 , -   , 1.007 , -   , -   , -   , 4.776 , -   , -   , 167 , 368 , -   , 1.757 , 8.788 , -   , 575 , -   , 1.248 , 1 , 19.411 , -   , -   , -   , -   , 2.161 , -   , -   , -   , 1.603 , -   , -   , 270 , -   , 16.864 , -   , -   , -   , -   , -   , 1.853 , -   , -   , -   , -   , -   , -   , -   , 11.170 , -   , -   , -   , -   , -   , -   , -   , -   , 18 , -   , -   , -   , -   , -   , -   , 36.088 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23.289 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.540 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Chubut, 15.607 , 8 , -   , -   , 73 , 32 , 1.069 , 608 , -   , -   , -   , 5.624 , -   , -   , -   , 18.839 , -   , -   , 12.765 , 5.529 , -   , 2.415 , 16.197 , -   , 180 , -   , 13.196 , 638 , 17.842 , -   , -   , -   , 1 , 13.910 , -   , -   , -   , 18.909 , -   , -   , -   , -   , 260 , -   , -   , -   , -   , 1.190 , 4.134 , -   , -   , -   , -   , -   , -   , -   , 9.160 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 13.124 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 282 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Córdoba, 13.104 , 2 , -   , -   , 88 , 10 , 91 , 12.691 , -   , -   , 7 , 9.450 , 26 , 154 , -   , 44.630 , -   , 6 , 4.990 , 14.055 , -   , 8.543 , 84.061 , 13 , 2.570 , -   , 12.013 , 2.198 , 109.215 , -   , -   , -   , 88 , 15.722 , -   , 35 , 11 , 25.064 , 134 , -   , 4.073 , -   , 28.840 , -   , -   , -   , -   , 2 , 28.685 , 5 , 1 , 35 , -   , -   , -   , -   , 6.299 , -   , -   , -   , 8 , -   , -   , -   , -   , 485 , -   , -   , -   , -   , -   , -   , 348.330 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5.080 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 12 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 196.442 , -   , -   , -   , -   , -   , 223 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 16 , -   , -   , -   , -   , -   , -   , -   , 319 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 25.894 , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   , -   , -   , 21 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Corrientes, 7.094 , -   , -   , -   , 10 , 57 , 118 , 3.911 , -   , -   , -   , 2.959 , -   , -   , -   , 7.587 , -   , -   , 480 , 1.688 , -   , 1.558 , 10.291 , -   , -   , -   , 2.921 , -   , 22.744 , -   , -   , -   , -   , 187 , -   , -   , -   , 1.696 , 1.108 , -   , 236 , -   , 23.850 , -   , -   , -   , -   , -   , 1.262 , -   , -   , -   , -   , -   , -   , -   , 9.204 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20.296 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20.220 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Entre Ríos, 16.750 , 1 , -   , -   , 20 , 86 , 113 , 5.632 , -   , -   , -   , 4.656 , -   , -   , -   , 11.535 , -   , -   , 390 , 2.393 , -   , 5.015 , 26.086 , -   , 1.117 , -   , 1.541 , 3 , 46.959 , -   , -   , -   , -   , 4.369 , -   , -   , -   , 3.669 , 1 , -   , 839 , -   , 33.416 , -   , -   , -   , -   , -   , 4.030 , -   , -   , -   , -   , -   , -   , -   , 17.566 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 44.247 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33.351 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.140 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Formosa, 588 , -   , -   , -   , 49 , 48 , -   , 448 , -   , -   , -   , 1.951 , -   , -   , -   , 10.028 , -   , -   , -   , 3.291 , -   , 2.959 , 5.884 , -   , 26 , -   , 88 , -   , 6.831 , -   , -   , -   , -   , 331 , -   , -   , -   , 572 , -   , -   , 228 , -   , 5.482 , -   , -   , -   , -   , -   , 396 , -   , -   , -   , -   , -   , -   , -   , 324 , -   , -   , -   , 5 , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , 7.268 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6.829 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 914 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Jujuy, 2.442 , -   , -   , -   , 26 , 32 , -   , 1.761 , -   , -   , -   , 3.996 , -   , -   , -   , 5.432 , -   , -   , -   , 2.858 , -   , 4.736 , 5.119 , -   , 10 , -   , 999 , -   , 15.312 , -   , -   , -   , -   , 23.223 , -   , -   , -   , 526 , -   , -   , 4 , -   , 14.170 , -   , -   , -   , -   , -   , 359 , -   , -   , -   , 26 , -   , -   , -   , 191 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27.838 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6.745 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 502 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,La Pampa, 2.833 , 1 , -   , -   , 239 , 61 , 476 , 1.747 , -   , -   , 185 , 3.700 , -   , -   , -   , 7.930 , -   , -   , 2.460 , 3.412 , -   , 2.432 , 42.693 , -   , 118 , -   , 1.751 , -   , 8.000 , -   , -   , -   , -   , 14 , -   , -   , -   , 7.002 , -   , -   , 2 , -   , 5.026 , -   , -   , -   , -   , -   , 121 , -   , -   , -   , -   , -   , -   , -   , 5.135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12.719 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 54 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.574 , -   , -   , -   , -   , 3 , 33 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,La Rioja, -   , -   , -   , -   , 9 , 9 , -   , 778 , -   , -   , -   , 6 , -   , -   , -   , 958 , -   , -   , -   , 2 , -   , 162 , 2.448 , -   , -   , -   , 85 , -   , 4.607 , -   , -   , -   , 22 , 15.379 , -   , -   , -   , 525 , -   , -   , -   , -   , 7.698 , -   , -   , -   , -   , 873 , 257 , -   , -   , -   , -   , -   , -   , -   , 4.517 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35.483 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9.990 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 137 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 358 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Mendoza, 3.287 , 1 , -   , -   , 97 , 16 , 1.135 , 2.220 , -   , -   , 1.348 , 3.360 , -   , -   , -   , 4.996 , -   , -   , 15.731 , 1.640 , -   , 903 , 23.252 , -   , 1.708 , -   , 14.094 , 1.736 , 8.869 , -   , -   , -   , -   , 44.057 , -   , -   , -   , 22.543 , -   , -   , -   , -   , 7.578 , -   , -   , -   , -   , 13.898 , 149 , -   , -   , -   , -   , -   , -   , -   , 45.551 , -   , -   , -   , -   , 82 , -   , -   , -   , 39 , -   , 1 , -   , -   , -   , -   , 41.347 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 13.976 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.548 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2022,1,Misiones, 8.349 , -   , -   , -   , 47 , 4 , -   , 3.873 , -   , -   , -   , 11.079 , -   , -   , -   , 5.627 , -   , -   , 4 , 1.622 , -   , 4.944 , 12.379 , -   , 366 , -   , 48 , 6 , 21.841 , -   , -   , -   , 4 , 202 , -   , -   , 1 , 2.355 , 1 , -   , 299 , -   , 23.993 , -   , -   , -   , -   , -   , 1.332 , -   , -   , -   , -   , -   , -   , -   , 14.541 , -   , -   , -   , -   , -   , -   , -   , -   , 71 , -   , 68 , -   , -   , -   , -   , 27.132 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 19 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 24.502 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.852 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.947 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
