,Año,Trimestre, Provincia ,Accesos por cada 100 hogares,Año-Trimestre
97,2023,1, Capital Federal ,"122,59 ",2023-Q1
98,2023,1, Catamarca ,"66,17 ",2023-Q1
99,2023,1, Chaco ,"43,15 ",2023-Q1
100,2023,1, Chubut ,"85,89 ",2023-Q1
101,2023,1, Córdoba ,"88,84 ",2023-Q1
102,2023,1, Corrientes ,"52,05 ",2023-Q1
103,2023,1, Entre Ríos ,"64,79 ",2023-Q1
104,2023,1, Formosa ,"38,79 ",2023-Q1
105,2023,1, Jujuy ,"58,20 ",2023-Q1
106,2023,1, La Pampa ,"96,55 ",2023-Q1
107,2023,1, La Rioja ,"79,74 ",2023-Q1
108,2023,1, Mendoza ,"51,40 ",2023-Q1
109,2023,1, Misiones ,"53,97 ",2023-Q1
110,2023,1, Neuquén ,"78,55 ",2023-Q1
111,2023,1, Río Negro ,"69,16 ",2023-Q1
112,2023,1, Salta ,"57,67 ",2023-Q1
113,2023,1, San Juan ,"49,75 ",2023-Q1
114,2023,1, San Luis ,"90,17 ",2023-Q1
115,2023,1, Santa Cruz ,"43,42 ",2023-Q1
116,2023,1, Santa Fe ,"78,13 ",2023-Q1
117,2023,1, Santiago Del Estero ,"47,55 ",2023-Q1
118,2023,1, Tierra Del Fuego ,"104,23 ",2023-Q1
119,2023,1, Tucumán ,"60,34 ",2023-Q1
120,2022,4, Buenos Aires ,"78,94 ",2022-Q4
121,2022,4, Capital Federal ,"122,73 ",2022-Q4
122,2022,4, Catamarca ,"65,77 ",2022-Q4
123,2022,4, Chaco ,"43,62 ",2022-Q4
124,2022,4, Chubut ,"85,57 ",2022-Q4
125,2022,4, Córdoba ,"89,03 ",2022-Q4
126,2022,4, Corrientes ,"51,64 ",2022-Q4
127,2022,4, Entre Ríos ,"64,01 ",2022-Q4
128,2022,4, Formosa ,"39,41 ",2022-Q4
129,2022,4, Jujuy ,"58,46 ",2022-Q4
130,2022,4, La Pampa ,"94,80 ",2022-Q4
131,2022,4, La Rioja ,"79,86 ",2022-Q4
132,2022,4, Mendoza ,"51,36 ",2022-Q4
133,2022,4, Misiones ,"52,85 ",2022-Q4
134,2022,4, Neuquén ,"78,67 ",2022-Q4
135,2022,4, Río Negro ,"68,42 ",2022-Q4
136,2022,4, Salta ,"57,96 ",2022-Q4
137,2022,4, San Juan ,"50,88 ",2022-Q4
138,2022,4, San Luis ,"90,27 ",2022-Q4
139,2022,4, Santa Cruz ,"43,53 ",2022-Q4
140,2022,4, Santa Fe ,"78,40 ",2022-Q4
141,2022,4, Santiago Del Estero ,"48,05 ",2022-Q4
142,2022,4, Tierra Del Fuego ,"101,44 ",2022-Q4
143,2022,4, Tucumán ,"61,04 ",2022-Q4
144,2022,3, Buenos Aires ,"78,11 ",2022-Q3
145,2022,3, Capital Federal ,"122,28 ",2022-Q3
146,2022,3, Catamarca ,"65,33 ",2022-Q3
147,2022,3, Chaco ,"43,86 ",2022-Q3
148,2022,3, Chubut ,"84,38 ",2022-Q3
149,2022,3, Córdoba ,"88,31 ",2022-Q3
150,2022,3, Corrientes ,"48,21 ",2022-Q3
151,2022,3, Entre Ríos ,"63,67 ",2022-Q3
152,2022,3, Formosa ,"43,76 ",2022-Q3
153,2022,3, Jujuy ,"58,91 ",2022-Q3
154,2022,3, La Pampa ,"96,59 ",2022-Q3
155,2022,3, La Rioja ,"80,66 ",2022-Q3
156,2022,3, Mendoza ,"51,03 ",2022-Q3
157,2022,3, Misiones ,"51,82 ",2022-Q3
158,2022,3, Neuquén ,"80,37 ",2022-Q3
159,2022,3, Río Negro ,"67,98 ",2022-Q3
160,2022,3, Salta ,"57,76 ",2022-Q3
161,2022,3, San Juan ,"50,80 ",2022-Q3
162,2022,3, San Luis ,"81,74 ",2022-Q3
163,2022,3, Santa Cruz ,"43,19 ",2022-Q3
164,2022,3, Santa Fe ,"78,55 ",2022-Q3
165,2022,3, Santiago Del Estero ,"47,98 ",2022-Q3
166,2022,3, Tierra Del Fuego ,"99,51 ",2022-Q3
167,2022,3, Tucumán ,"61,14 ",2022-Q3
168,2022,2, Buenos Aires ,"77,58 ",2022-Q2
169,2022,2, Capital Federal ,"121,31 ",2022-Q2
170,2022,2, Catamarca ,"62,40 ",2022-Q2
171,2022,2, Chaco ,"43,79 ",2022-Q2
172,2022,2, Chubut ,"83,19 ",2022-Q2
173,2022,2, Córdoba ,"87,48 ",2022-Q2
174,2022,2, Corrientes ,"48,35 ",2022-Q2
175,2022,2, Entre Ríos ,"63,90 ",2022-Q2
176,2022,2, Formosa ,"43,42 ",2022-Q2
177,2022,2, Jujuy ,"57,32 ",2022-Q2
178,2022,2, La Pampa ,"92,98 ",2022-Q2
179,2022,2, La Rioja ,"80,14 ",2022-Q2
180,2022,2, Mendoza ,"49,39 ",2022-Q2
181,2022,2, Misiones ,"51,00 ",2022-Q2
182,2022,2, Neuquén ,"80,02 ",2022-Q2
183,2022,2, Río Negro ,"67,85 ",2022-Q2
184,2022,2, Salta ,"57,54 ",2022-Q2
185,2022,2, San Juan ,"49,46 ",2022-Q2
186,2022,2, San Luis ,"81,76 ",2022-Q2
187,2022,2, Santa Cruz ,"43,15 ",2022-Q2
188,2022,2, Santa Fe ,"77,90 ",2022-Q2
189,2022,2, Santiago Del Estero ,"47,70 ",2022-Q2
190,2022,2, Tierra Del Fuego ,"99,86 ",2022-Q2
191,2022,2, Tucumán ,"59,31 ",2022-Q2
192,2022,1, Buenos Aires ,"76,08 ",2022-Q1
193,2022,1, Capital Federal ,"111,80 ",2022-Q1
194,2022,1, Catamarca ,"58,21 ",2022-Q1
195,2022,1, Chaco ,"44,06 ",2022-Q1
196,2022,1, Chubut ,"88,05 ",2022-Q1
197,2022,1, Córdoba ,"85,76 ",2022-Q1
198,2022,1, Corrientes ,"47,64 ",2022-Q1
199,2022,1, Entre Ríos ,"63,70 ",2022-Q1
200,2022,1, Formosa ,"34,96 ",2022-Q1
201,2022,1, Jujuy ,"58,06 ",2022-Q1
202,2022,1, La Pampa ,"91,66 ",2022-Q1
203,2022,1, La Rioja ,"78,77 ",2022-Q1
204,2022,1, Mendoza ,"48,74 ",2022-Q1
205,2022,1, Misiones ,"49,04 ",2022-Q1
206,2022,1, Neuquén ,"74,17 ",2022-Q1
207,2022,1, Río Negro ,"67,04 ",2022-Q1
208,2022,1, Salta ,"56,11 ",2022-Q1
